日期,開盤,收盤,現金,持股,持股價值,總價值,報酬率,動作,交易信號,買入機率,賣出機率
2024-08-12,2553.496582,2724.431885,912.8337650299072,43427,118313903.469895,118314816.30366004,117.31481630366004,hold,,0.179,0.1216
2024-08-13,2724.303467,2703.671875,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,sell,0.0397,0.4951
2024-08-14,2703.586914,2662.914795,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.1315,0.20929999999999999
2024-08-15,2662.885498,2570.087646,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.272,0.0253
2024-08-16,2570.085205,2593.186523,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.29960000000000003,0.0332
2024-08-17,2593.166992,2614.546875,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.24280000000000002,0.23120000000000002
2024-08-18,2614.109619,2613.357178,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,,0.2086,0.4876
2024-08-19,2612.718506,2637.306396,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.33509999999999995,0.2822
2024-08-20,2637.306396,2573.106934,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.198,0.1398
2024-08-21,2573.108887,2631.395508,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,hold,,0.1115,0.17079999999999998
2024-08-22,2630.864258,2622.951416,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,,0.18280000000000002,0.4412
2024-08-23,2622.916016,2764.447021,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,,0.0052,0.9804999999999999
2024-08-24,2765.481445,2769.389648,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,,0.0004,0.9983
2024-08-25,2769.098145,2749.157715,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,,0.0004,0.9971
2024-08-26,2749.247559,2681.340576,117242274.39484018,0,0.0,117242274.39484018,116.24227439484018,sell,,0.0104,0.9316
2024-08-27,2681.622803,2458.726562,2070.2125817984343,47612,117064889.069944,117066959.2825258,116.06695928252579,buy,buy,0.612,0.0444
2024-08-28,2458.904785,2528.415527,2070.2125817984343,47612,120382920.07152401,120384990.28410581,119.38499028410581,hold,,0.4326,0.081
2024-08-29,2528.362305,2528.792725,2070.2125817984343,47612,120400879.22269998,120402949.43528178,119.40294943528178,buy,,0.5487,0.0274
2024-08-30,2528.732178,2525.822021,2070.2125817984343,47612,120259438.063852,120261508.2764338,119.2615082764338,buy,,0.7424,0.0048
2024-08-31,2525.859131,2513.393799,2070.2125817984343,47612,119667705.557988,119669775.7705698,118.6697757705698,buy,,0.8459,0.0015
2024-09-01,2513.424316,2427.902344,2070.2125817984343,47612,115597286.402528,115599356.6151098,114.5993566151098,buy,,0.9216,0.0006
2024-09-02,2427.973389,2538.187256,2070.2125817984343,47612,120848171.63267201,120850241.84525381,119.8502418452538,hold,,0.4607,0.0067
2024-09-03,2538.160645,2420.60376,2070.2125817984343,47612,115249786.22112,115251856.4337018,114.2518564337018,buy,,0.9048999999999999,0.0009
