Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-06-02,31.450001,31.75,31.450001,29.741018,31771276.0,0,0
2023-06-05,31.6875,31.700001,31.5625,29.64716,25440488.0,0,0
2023-06-06,31.5875,31.8125,31.5375,29.729284,26369656.0,0,0
2023-06-07,31.75,32.0625,31.75,30.057789,48306172.0,0,0
2023-06-08,31.975,32.049999,31.637501,29.764482,20562940.0,0,0
2023-06-09,31.875,32.049999,31.85,29.987394,22207812.0,0,0
2023-06-12,32.125,32.325001,32.125,30.268963,54885148.0,0,0
2023-06-13,32.549999,32.987499,32.549999,30.86731,93752808.0,0,0
2023-06-14,32.849998,32.900002,32.75,30.855576,26707972.0,0,0
2023-06-15,32.887501,33.0,32.875,30.94943,44164476.0,0,0
2023-06-16,32.950001,32.950001,32.775002,30.86731,28808864.0,0,0
2023-06-19,32.737499,32.875,32.637501,30.796917,23915984.0,0,0
2023-06-20,32.775002,32.8125,32.587502,30.632664,26115876.0,0,0
2023-06-21,32.637501,32.762501,32.5625,30.632664,106262060.0,0,0
2023-06-26,32.587502,32.587502,32.349998,30.444946,29573612.0,0,0
2023-06-27,32.287498,32.387501,32.174999,30.245501,26296196.0,0,0
2023-06-28,32.337502,32.424999,32.200001,30.292431,22783412.0,0,0
2023-06-29,32.4375,32.625,32.224998,30.280701,22786068.0,0,0
2023-06-30,32.200001,32.275002,32.075001,30.292431,28116752.0,0,0
2023-07-03,32.400002,32.674999,32.400002,30.667862,26491300.0,0,0
2023-07-04,32.6875,32.787498,32.637501,30.738255,22718680.0,0,0
2023-07-05,32.75,32.799999,32.599998,30.691326,20003768.0,0,0
2023-07-06,32.424999,32.424999,31.924999,30.01086,65609104.0,0,0
2023-07-07,31.887501,32.075001,31.775,29.96393,32081608.0,0,0
2023-07-10,32.025002,32.125,31.75,29.905268,31486556.0,0,0
2023-07-11,32.0,32.299999,32.0,30.315895,18161736.0,0,0
2023-07-12,32.325001,32.362499,32.212502,30.374552,13757804.0,0,0
2023-07-13,32.825001,32.974998,32.712502,30.714785,62665236.0,0,0
2023-07-14,32.862499,33.125,32.862499,31.031555,58928984.0,0,0
2023-07-17,33.0,33.049999,32.9375,30.972897,61113608.0,0,0
2023-07-18,32.75,32.75,32.424999,30.913378,43350244.0,0,0
2023-07-19,32.537498,32.625,32.1875,30.651501,57198712.0,0,0
2023-07-20,32.262501,32.424999,32.25,30.794344,14887776.0,0,0
2023-07-21,31.85,31.85,31.625,30.282492,51028788.0,0,0
2023-07-24,31.75,31.9125,31.65,30.294395,38900724.0,0,0
2023-07-25,31.924999,32.299999,31.924999,30.675308,27691160.0,0,0
