Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI_3,RSI_5,RSI_7,RSI_10,RSI_14,%K,%D,MACD,MACD_Signal,MACD_Histogram,SMA_5,SMA_10,SMA_20,SMA_50,EMA_5,EMA_12,EMA_26,BB_Upper,BB_Lower,BB_Middle,ATR_14,Williams_R,CCI_20,OBV,ADX,DI_Plus,DI_Minus,Price_Change_Pct,Volume_SMA_20,Price_SMA_20_Diff,Price_EMA_12_Diff,window_id,window_start,window_end,window_weeks,open_bin,high_bin,low_bin,close_bin,volume_bin,rsi_3_bin,rsi_5_bin,rsi_7_bin,rsi_10_bin,rsi_14_bin,stoch_k_bin,stoch_d_bin,macd_bin,macd_signal_bin,macd_hist_bin,sma_5_bin,sma_10_bin,sma_20_bin,sma_50_bin,ema_5_bin,ema_12_bin,ema_26_bin,bb_upper_bin,bb_lower_bin,bb_middle_bin,atr_14_bin,williams_r_bin,cci_20_bin,obv_bin,adx_bin,di_plus_bin,di_minus_bin,price_change_pct_bin,volume_sma_20_bin,price_sma_20_diff_bin,price_ema_12_diff_bin,window_data_count,window_price_range,window_price_volatility,window_avg_volume
2024-09-24,45.799999,46.25,45.525002,45.300274,39809384.0,0,0,100.0,88.82006326208119,89.4119506706206,91.11121943807524,58.04876675346144,74.67397333333338,67.89482723205502,0.1643437191103416,-0.1170168618240868,0.2813605809344284,44.5020104,43.7906735,43.6462025,44.12296608,44.61946276499452,44.04296726711918,43.87862354800884,45.76363325172886,41.52877174827114,43.6462025,1.382402357142858,-25.326026666666625,112.78213207837096,4542761408.0,18.89924375297876,20.151239821484666,16.792712768708583,0.9549792990058537,39791069.2,1.6540715000000006,1.2573067328808207,46,2024-08-05,2024-10-13,10,Q3,Q4,Q3,Q4,Q2,Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q4,Q3,Q4,Q3,Q2,Q2,Q1,Q4,Q3,Q1,Q1,Q3,Q2,Q2,Q4,Q4,Q4,Q1,Q2,Q2,Q3,Q1,Q4,Q4,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-09-25,46.924999,47.0,46.837502,45.973656,46692004.0,0,0,100.0,100.0,91.92839779199797,92.30778033705413,83.40084385534657,76.80578006910281,72.92121004026784,0.3061851659017804,-0.0323764562789133,0.3385616221806938,44.98684480000001,44.1677674,43.735578749999995,44.08573762,45.07086050999635,44.339996302947,44.03381113704522,46.08694750806914,41.38420999193085,43.735578749999995,1.3903693571428577,-23.1942199308972,162.06542134560505,4589453412.0,21.90977997534102,23.888806319759524,4.238344476912123,1.4864854901319058,41067276.2,2.2380772500000035,1.6336596970529982,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q2,Q1,Q4,Q4,Q2,Q2,Q3,Q2,Q3,Q4,Q4,Q4,Q1,Q4,Q1,Q4,Q1,Q4,Q4,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-09-26,47.400002,47.5,47.1875,46.353199,66903724.0,0,0,100.0,100.0,92.71268381562726,95.32476321503547,83.73018149547971,76.71469577963359,76.0648163940231,0.4441021493890673,0.0629192648546827,0.3811828845343846,45.434950400000005,44.5950589,43.81271155,44.05439478,45.4983066733309,44.64971979480131,44.20561764541224,46.40175078170566,41.22367231829435,43.81271155,1.375884142857143,-23.285304220366413,169.62656543623524,4656357136.0,24.368254738563017,25.632868382086567,4.282965478094138,0.8255662764779848,43312978.2,2.5404874499999934,1.7034792051986898,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q2,Q1,Q4,Q4,Q3,Q2,Q3,Q2,Q2,Q4,Q4,Q4,Q2,Q4,Q1,Q3,Q2,Q4,Q4,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-09-27,47.549999,47.8125,47.150002,46.255253,45613256.0,0,0,91.48940237437608,94.48278581406912,96.6244850794082,90.15165085868064,80.56159412939496,70.26735470498426,74.59594351790672,0.539282416800603,0.1581918952438668,0.3810905215567362,45.750828,44.854617399999995,43.9155554,44.015460999999995,45.75062211555394,44.89672490329342,44.357442486492815,46.72327311703208,41.107837682967926,43.9155554,1.3705111428571437,-29.732645295015747,148.53097898367318,4610743880.0,26.587055861609013,27.03631533511271,4.299756566319678,-0.2113036470255069,43440452.0,2.339697600000001,1.3585280967065856,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q1,Q4,Q4,Q4,Q3,Q2,Q3,Q2,Q4,Q4,Q4,Q2,Q4,Q1,Q2,Q2,Q4,Q4,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-09-30,46.637501,46.799999,45.987499,45.043163,52747800.0,0,0,22.46376168264399,53.07014888533921,63.10343934090475,65.37398497227275,73.42522780411214,44.88883785518892,63.956962779935424,0.5110172426438169,0.2287569647238568,0.28226027791996,45.785109,44.9905182,43.947387899999995,43.96575304,45.51480241036929,44.91925384124828,44.40823659860446,46.7927263803366,41.10204941966339,43.947387899999995,1.3964039285714291,-55.11116214481109,76.86919141115371,4557996080.0,26.940039252343663,26.53499511883968,8.184302996651349,-2.6204375100920996,44467694.4,1.0957751000000044,0.1239091587517222,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q3,Q1,Q2,Q3,Q3,Q4,Q2,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q1,Q4,Q4,Q4,Q3,Q2,Q3,Q3,Q2,Q4,Q4,Q2,Q4,Q1,Q1,Q2,Q3,Q2,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-10-01,45.974998,46.150002,45.837502,44.957462,37640876.0,0,0,0.0,43.00001388513394,54.5816871787212,63.434948924471534,72.10219782776666,42.17644556962025,52.44421270993098,0.476212057846979,0.2782479833484813,0.1979640744984977,45.7165466,45.1092785,43.98105695,43.93147172,45.32902227357953,44.925132019517775,44.4489199616708,46.85892103065153,41.10319286934846,43.98105695,1.3882677857142862,-57.82355443037975,56.96972884557851,4520355204.0,27.79330743989352,25.018351492396818,9.004026549221228,-0.1902641695033735,44746843.4,0.976405050000004,0.0323299804822241,46,2024-08-05,2024-10-13,10,Q4,Q3,Q4,Q3,Q2,Q1,Q2,Q3,Q3,Q4,Q2,Q3,Q4,Q4,Q4,Q4,Q4,Q3,Q1,Q4,Q4,Q4,Q3,Q2,Q3,Q3,Q2,Q3,Q4,Q2,Q4,Q1,Q2,Q2,Q3,Q2,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-10-04,46.0,46.325001,45.75,44.957462,35462652.0,0,0,0.0,21.379331711053993,51.48937604833625,66.76383013783706,73.54713276356676,24.61941894094727,37.22823412191865,0.443516120381112,0.3113016107550074,0.1322145096261045,45.5133078,45.2500763,44.02452065,43.91849379999999,45.205168849053024,44.93010586266889,44.48658974228778,46.93526628832138,41.11377501167862,44.02452065,1.4200717857142864,-75.38058105905273,54.03840339837463,4520355204.0,28.964715484928792,25.338271380144008,8.802371912285114,0.0,44599410.4,0.93294135,0.027356137331111,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q3,Q2,Q1,Q1,Q2,Q3,Q4,Q2,Q2,Q4,Q4,Q3,Q4,Q4,Q3,Q1,Q4,Q4,Q4,Q3,Q3,Q3,Q3,Q2,Q3,Q4,Q3,Q4,Q1,Q2,Q2,Q3,Q2,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-10-07,46.450001,47.049999,46.450001,46.071602,53806008.0,0,0,92.857303592726,44.39022310655067,60.824738506377834,70.618568311544,71.36664140160501,52.628612960166755,39.808159156911266,0.5017225953536482,0.3493858076747356,0.1523367876789125,45.4569884,45.4459694,44.2314327,43.95497886,45.49397989936868,45.10572065302752,44.60399805767387,47.10437112809829,41.358494271901705,44.2314327,1.3850948571428578,-47.37138703983325,88.37965135823391,4574161212.0,31.87210326314059,21.78810548715384,9.024652669481942,2.47820929037319,41307911.6,1.8401692999999997,0.9658813469724804,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q3,Q4,Q2,Q3,Q4,Q4,Q3,Q2,Q4,Q4,Q3,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q3,Q3,Q4,Q2,Q3,Q4,Q4,Q3,Q3,Q1,Q4,Q1,Q4,Q4,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-10-08,46.737499,46.837502,46.375,45.851223,37917328.0,0,0,83.48625984343414,42.32556195888772,48.03149656939241,63.33334089604521,68.55350553505538,46.63190384541594,41.293311915509825,0.5240282313537463,0.3843142924105377,0.1397139389432085,45.376182400000005,45.563505199999994,44.4144701,43.95963126000001,45.613060932912454,45.22041332179251,44.69638509043877,47.20519121948896,41.623748980511046,44.4144701,1.355671000000001,-53.368096154584066,72.6393133175144,4536243884.0,34.26670054479573,21.338926838233068,9.615696897382492,-0.4783402148681559,41440012.8,1.4367528999999948,0.6308096782074841,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q2,Q3,Q2,Q2,Q3,Q3,Q3,Q2,Q4,Q4,Q3,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q3,Q4,Q2,Q3,Q3,Q4,Q3,Q3,Q2,Q1,Q1,Q4,Q3,46,8.178535000000004,1.5626007031389253,56055191.39130435
2024-10-09,47.25,47.549999,47.25,46.279739,45188240.0,0,0,87.50002127013923,83.44382323922935,48.83720635740729,65.17151260082244,70.29707277956393,58.292206338015305,52.517574381199175,0.5697159378341254,0.4213946214952553,0.1483213163388701,45.62349759999999,45.7043033,44.58893735,44.00860456,45.835286955274974,45.383386503055206,44.81367056522108,47.388426747292705,41.7894479527073,44.58893735,1.397309000000001,-41.707793661984695,100.83494101504668,4581432124.0,37.42371225402244,24.345244016483495,9.329161573117627,0.9345792150407872,41982873.8,1.6908016499999974,0.8963524969447931,46,2024-08-05,2024-10-13,10,Q4,Q4,Q4,Q4,Q3,Q3,Q3,Q2,Q3,Q4,Q3,Q3,Q4,Q4,Q3,Q4,Q4,Q4,Q1,Q4,Q4,Q4,Q4,Q4,Q4,Q3,Q3,Q4,Q4,Q4,Q4,Q2,Q3,Q2,Q4,Q4,46,8.178535000000004,1.5626007031389253,56055191.39130435
